,Species,Species ID,auc_roc,accuracy,Model
0,Tadarida brasiliensis,41301,0.8563346780775598,0.6782690498588899,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Thryomanes bewickii,7576,0.8335278567289925,0.7603480714957667,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Anaxyrus boreas,64970,0.8977207951363855,0.8720602069614299,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Charadrius vociferus,4793,,0.599247412982126,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Baeolophus bicolor,13632,0.9716471986953062,0.9350893697083725,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Megascops asio,19765,0.8779254447667182,0.7194261523988711,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Melanerpes erythrocephalus,18204,0.9522251442317493,0.8266698024459078,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Scaphiopus couchii,26691,0.9429404276249169,0.9339134524929446,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Elgaria multicarinata,32055,0.9766102910458977,0.9795390404515522,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Odocoileus hemionus,42220,0.9628883419634623,0.8769990592662277,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Poecile atricapillus,144815,0.9329772929904835,0.7772812793979303,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Chamaea fasciata,15256,0.9694185655214379,0.9684854186265287,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Athene cunicularia,19975,0.8425262822604351,0.6808560677328316,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Lanius ludovicianus,12024,0.8483966264101269,0.4158043273753528,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Otospermophilus variegatus,180008,0.9379402067644628,0.9028692380056444,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Sylvilagus audubonii,43115,0.9068246675345227,0.8252587017873941,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Urosaurus ornatus,36107,0.9237525213685173,0.9092191909689558,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Nucifraga columbiana,8520,0.9029879559713763,0.8737064910630291,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Quiscalus quiscula,9602,0.8942309384656171,0.721307619943556,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Molothrus ater,10373,,0.6241768579492004,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Alligator mississippiensis,26159,0.9836505029593652,0.9428504233301975,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Eurycea lucifuga,27123,0.9433181698312236,0.9332079021636877,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Sayornis saya,17009,0.8636214655233506,0.7624647224835371,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Spizella pusilla,9152,0.9235324767138129,0.8045625587958608,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Phrynosoma hernandesi,36315,0.9037290596186262,0.8365475070555033,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Contopus sordidulus,16079,0.9536478152986145,0.8687676387582314,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Tyrannus tyrannus,16782,0.9383483274524295,0.8059736594543744,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
