,Species,Species ID,auc_roc,accuracy,Model
0,Tadarida brasiliensis,41301,0.912377088045768,0.702728127939793,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Thryomanes bewickii,7576,0.848950625802562,0.7775164628410159,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Anaxyrus boreas,64970,0.8659935283679641,0.8476011288805269,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Charadrius vociferus,4793,,0.4978833490122295,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Baeolophus bicolor,13632,0.9197313040145569,0.9329727187206021,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Megascops asio,19765,0.8183401937116094,0.6512229539040452,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Melanerpes erythrocephalus,18204,0.8803059712866452,0.7603480714957667,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Scaphiopus couchii,26691,0.9678565228712785,0.9379115710253998,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Elgaria multicarinata,32055,0.9629846376334783,0.9748353715898401,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Odocoileus hemionus,42220,0.9155956781819932,0.786453433678269,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Poecile atricapillus,144815,0.8328264014647249,0.6298212605832549,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Chamaea fasciata,15256,0.9759222295466873,0.9830667920978363,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Athene cunicularia,19975,0.8515740338953166,0.6688617121354656,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Lanius ludovicianus,12024,0.8271176011388162,0.3840545625587959,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Otospermophilus variegatus,180008,0.9558259043389998,0.9198024459078081,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Sylvilagus audubonii,43115,0.8825762564770145,0.812793979303857,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Urosaurus ornatus,36107,0.9481029210329389,0.9254468485418627,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Nucifraga columbiana,8520,0.8808143240003307,0.855832549388523,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Quiscalus quiscula,9602,0.777662091656409,0.5797271872060207,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Molothrus ater,10373,,0.5129350893697083,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Alligator mississippiensis,26159,0.9767562712462784,0.9442615239887112,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Eurycea lucifuga,27123,0.968080667258413,0.952728127939793,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Sayornis saya,17009,0.8208147677343917,0.7097836312323612,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Spizella pusilla,9152,0.8627115726267369,0.7450611476952023,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Phrynosoma hernandesi,36315,0.8981453221311368,0.840310442144873,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Contopus sordidulus,16079,0.9226441706873942,0.8290216368767639,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Tyrannus tyrannus,16782,0.781091055523241,0.6552210724365005,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Taricha torosa,27818,0.9652483405924825,0.9894167450611477,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Cardinalis sinuatus,9081,0.971818054118939,0.9595484477892756,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Nerodia rhombifer,29310,0.9537238159390555,0.9214487300094073,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Coragyps atratus,4765,0.9379548460155687,0.8704139228598307,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Icteria virens,10243,0.7075151594235564,0.5453904045155221,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Tamias striatus,46217,0.9080326252142142,0.7904515522107244,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Falco sparverius,4665,,0.3506585136406397,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Spinus tristis,145310,,0.4261523988711195,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Troglodytes aedon,7562,0.4285627069462101,0.40004703668861713,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Stelgidopteryx serripennis,11970,0.7911797686496695,0.42568203198494825,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Odocoileus virginianus,42223,0.7733944104680088,0.5559736594543744,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
0,Spinus psaltria,145308,0.9066011562399183,0.8309031044214488,"GradientBoostingClassifier(learning_rate=1.0, max_depth=1, random_state=0)"
