,Species,Species ID,auc_roc,Model
0,Tadarida brasiliensis,41301,0.8733142115368173,"GridSearchCV(cv=5, estimator=GradientBoostingClassifier(),
             param_grid={'learning_rate': [0.01, 0.1, 0.2],
                         'max_depth': [1, 3, 5, 7],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')"
0,Thryomanes bewickii,7576,0.8834407249287481,"GridSearchCV(cv=5, estimator=GradientBoostingClassifier(),
             param_grid={'learning_rate': [0.01, 0.1, 0.2],
                         'max_depth': [1, 3, 5, 7],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')"
0,Anaxyrus boreas,64970,0.9048171755171219,"GridSearchCV(cv=5, estimator=GradientBoostingClassifier(),
             param_grid={'learning_rate': [0.01, 0.1, 0.2],
                         'max_depth': [1, 3, 5, 7],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')"
0,Charadrius vociferus,4793,,"GridSearchCV(cv=5, estimator=GradientBoostingClassifier(),
             param_grid={'learning_rate': [0.01, 0.1, 0.2],
                         'max_depth': [1, 3, 5, 7],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')"
0,Baeolophus bicolor,13632,0.9822502511903488,"GridSearchCV(cv=5, estimator=GradientBoostingClassifier(),
             param_grid={'learning_rate': [0.01, 0.1, 0.2],
                         'max_depth': [1, 3, 5, 7],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')"
0,Megascops asio,19765,0.8858091483289044,"GridSearchCV(cv=5, estimator=GradientBoostingClassifier(),
             param_grid={'learning_rate': [0.01, 0.1, 0.2],
                         'max_depth': [1, 3, 5, 7],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')"
0,Melanerpes erythrocephalus,18204,0.9608142504754332,"GridSearchCV(cv=5, estimator=GradientBoostingClassifier(),
             param_grid={'learning_rate': [0.01, 0.1, 0.2],
                         'max_depth': [1, 3, 5, 7],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')"
0,Scaphiopus couchii,26691,0.9622505762424172,"GridSearchCV(cv=5, estimator=GradientBoostingClassifier(),
             param_grid={'learning_rate': [0.01, 0.1, 0.2],
                         'max_depth': [1, 3, 5, 7],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')"
0,Elgaria multicarinata,32055,0.9856193053857633,"GridSearchCV(cv=5, estimator=GradientBoostingClassifier(),
             param_grid={'learning_rate': [0.01, 0.1, 0.2],
                         'max_depth': [1, 3, 5, 7],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')"
0,Odocoileus hemionus,42220,0.9748216126328703,"GridSearchCV(cv=5, estimator=GradientBoostingClassifier(),
             param_grid={'learning_rate': [0.01, 0.1, 0.2],
                         'max_depth': [1, 3, 5, 7],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')"
