,Species,Species ID,auc_roc,accuracy,Model
0,Tadarida brasiliensis,41301,0.8943512969397353,0.6987300094073378,"GridSearchCV(cv=5, estimator=GradientBoostingClassifier(),
             param_grid={'learning_rate': [0.01, 0.1, 0.2],
                         'max_depth': [1, 3, 5, 7],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')"
0,Thryomanes bewickii,7576,0.865418682858843,0.778692380056444,"GridSearchCV(cv=5, estimator=GradientBoostingClassifier(),
             param_grid={'learning_rate': [0.01, 0.1, 0.2],
                         'max_depth': [1, 3, 5, 7],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')"
0,Anaxyrus boreas,64970,0.8881919929208844,0.8487770460959548,"GridSearchCV(cv=5, estimator=GradientBoostingClassifier(),
             param_grid={'learning_rate': [0.01, 0.1, 0.2],
                         'max_depth': [1, 3, 5, 7],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')"
0,Charadrius vociferus,4793,,0.40522107243650046,"GridSearchCV(cv=5, estimator=GradientBoostingClassifier(),
             param_grid={'learning_rate': [0.01, 0.1, 0.2],
                         'max_depth': [1, 3, 5, 7],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')"
0,Baeolophus bicolor,13632,0.9625405846491334,0.8802916274694261,"GridSearchCV(cv=5, estimator=GradientBoostingClassifier(),
             param_grid={'learning_rate': [0.01, 0.1, 0.2],
                         'max_depth': [1, 3, 5, 7],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')"
0,Megascops asio,19765,0.8443839264521134,0.6305268109125117,"GridSearchCV(cv=5, estimator=GradientBoostingClassifier(),
             param_grid={'learning_rate': [0.01, 0.1, 0.2],
                         'max_depth': [1, 3, 5, 7],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')"
0,Melanerpes erythrocephalus,18204,0.8960543649094808,0.7335371589840075,"GridSearchCV(cv=5, estimator=GradientBoostingClassifier(),
             param_grid={'learning_rate': [0.01, 0.1, 0.2],
                         'max_depth': [1, 3, 5, 7],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')"
0,Scaphiopus couchii,26691,0.9747316494517257,0.9529633113828786,"GridSearchCV(cv=5, estimator=GradientBoostingClassifier(),
             param_grid={'learning_rate': [0.01, 0.1, 0.2],
                         'max_depth': [1, 3, 5, 7],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')"
0,Elgaria multicarinata,32055,0.9758954871495065,0.9774223894637818,"GridSearchCV(cv=5, estimator=GradientBoostingClassifier(),
             param_grid={'learning_rate': [0.01, 0.1, 0.2],
                         'max_depth': [1, 3, 5, 7],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')"
0,Odocoileus hemionus,42220,0.9501261582031617,0.7855126999059266,"GridSearchCV(cv=5, estimator=GradientBoostingClassifier(),
             param_grid={'learning_rate': [0.01, 0.1, 0.2],
                         'max_depth': [1, 3, 5, 7],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')"
0,Poecile atricapillus,144815,0.8652312171139193,0.6215898400752587,"GridSearchCV(cv=5, estimator=GradientBoostingClassifier(),
             param_grid={'learning_rate': [0.01, 0.1, 0.2],
                         'max_depth': [1, 3, 5, 7],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')"
0,Chamaea fasciata,15256,0.9857495616845451,0.9830667920978363,"GridSearchCV(cv=5, estimator=GradientBoostingClassifier(),
             param_grid={'learning_rate': [0.01, 0.1, 0.2],
                         'max_depth': [1, 3, 5, 7],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')"
0,Athene cunicularia,19975,0.8518848070470858,0.6389934148635936,"GridSearchCV(cv=5, estimator=GradientBoostingClassifier(),
             param_grid={'learning_rate': [0.01, 0.1, 0.2],
                         'max_depth': [1, 3, 5, 7],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')"
0,Lanius ludovicianus,12024,0.7619145581729959,0.37370649106302917,"GridSearchCV(cv=5, estimator=GradientBoostingClassifier(),
             param_grid={'learning_rate': [0.01, 0.1, 0.2],
                         'max_depth': [1, 3, 5, 7],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')"
0,Otospermophilus variegatus,180008,0.956544085652769,0.9379115710253998,"GridSearchCV(cv=5, estimator=GradientBoostingClassifier(),
             param_grid={'learning_rate': [0.01, 0.1, 0.2],
                         'max_depth': [1, 3, 5, 7],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')"
0,Sylvilagus audubonii,43115,0.8784483242718942,0.8104421448730009,"GridSearchCV(cv=5, estimator=GradientBoostingClassifier(),
             param_grid={'learning_rate': [0.01, 0.1, 0.2],
                         'max_depth': [1, 3, 5, 7],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')"
0,Urosaurus ornatus,36107,0.9689455436187042,0.9541392285983067,"GridSearchCV(cv=5, estimator=GradientBoostingClassifier(),
             param_grid={'learning_rate': [0.01, 0.1, 0.2],
                         'max_depth': [1, 3, 5, 7],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')"
