,Species,Species ID,auc_roc,accuracy,Model,Params
0,Tadarida brasiliensis,41301,0.7700580649674695,0.672859830667921,LogisticRegression(),base
0,Thryomanes bewickii,7576,0.8329097861661812,0.7822201317027281,LogisticRegression(),base
0,Anaxyrus boreas,64970,0.7567420149260721,0.764346190028222,LogisticRegression(),base
0,Charadrius vociferus,4793,,0.9132173095014111,LogisticRegression(),base
0,Baeolophus bicolor,13632,0.9393683469085461,0.8706491063029163,LogisticRegression(),base
0,Megascops asio,19765,0.8015703029566204,0.7111947318908749,LogisticRegression(),base
0,Melanerpes erythrocephalus,18204,0.8834904520183708,0.8278457196613358,LogisticRegression(),base
0,Scaphiopus couchii,26691,0.8304458525012297,0.6980244590780809,LogisticRegression(),base
0,Elgaria multicarinata,32055,0.9524750084912549,0.9381467544684854,LogisticRegression(),base
0,Odocoileus hemionus,42220,0.8528985386905454,0.8130291627469426,LogisticRegression(),base
0,Poecile atricapillus,144815,0.6156558562899782,0.5639698965192851,LogisticRegression(),base
0,Chamaea fasciata,15256,0.9710396796494091,0.956961429915334,LogisticRegression(),base
0,Athene cunicularia,19975,0.9121845447616339,0.786453433678269,LogisticRegression(),base
0,Lanius ludovicianus,12024,0.7389796574367451,0.3786453433678269,LogisticRegression(),base
0,Otospermophilus variegatus,180008,0.8298054214658409,0.6474600188146754,LogisticRegression(),base
0,Sylvilagus audubonii,43115,0.9198121346708527,0.7968015051740357,LogisticRegression(),base
0,Urosaurus ornatus,36107,0.8547841915696311,0.6634524929444967,LogisticRegression(),base
0,Nucifraga columbiana,8520,0.7592643945030819,0.690733772342427,LogisticRegression(),base
0,Quiscalus quiscula,9602,0.8263261644605635,0.691439322671684,LogisticRegression(),base
0,Molothrus ater,10373,,0.9894167450611477,LogisticRegression(),base
0,Alligator mississippiensis,26159,0.9631196835592091,0.9118062088428974,LogisticRegression(),base
0,Eurycea lucifuga,27123,0.8897196922918595,0.8005644402634055,LogisticRegression(),base
0,Sayornis saya,17009,0.9295551785840833,0.7603480714957667,LogisticRegression(),base
0,Spizella pusilla,9152,0.890383917955498,0.800799623706491,LogisticRegression(),base
0,Phrynosoma hernandesi,36315,0.8461010353824884,0.6338193791157103,LogisticRegression(),base
0,Contopus sordidulus,16079,0.8062385526764997,0.7885700846660395,LogisticRegression(),base
0,Tyrannus tyrannus,16782,0.9461155948610106,0.8645343367826905,LogisticRegression(),base
0,Taricha torosa,27818,0.9800288423720666,0.9656632173095014,LogisticRegression(),base
0,Cardinalis sinuatus,9081,0.9032720802632307,0.772107243650047,LogisticRegression(),base
0,Nerodia rhombifer,29310,0.8670694117669766,0.6636876763875823,LogisticRegression(),base
0,Coragyps atratus,4765,0.9717015497430294,0.9214487300094073,LogisticRegression(),base
0,Icteria virens,10243,0.7160360702345436,0.782925682031985,LogisticRegression(),base
0,Tamias striatus,46217,0.879676796511601,0.8003292568203199,LogisticRegression(),base
0,Falco sparverius,4665,,0.6385230479774224,LogisticRegression(),base
0,Spinus tristis,145310,,0.6067732831608654,LogisticRegression(),base
0,Troglodytes aedon,7562,0.08374812356798607,0.8294920037629351,LogisticRegression(),base
0,Stelgidopteryx serripennis,11970,0.08777443342776203,0.8045625587958608,LogisticRegression(),base
0,Odocoileus virginianus,42223,0.8432032233561678,0.7041392285983067,LogisticRegression(),base
0,Spinus psaltria,145308,0.9353727076940977,0.886406396989652,LogisticRegression(),base
0,Haemorhous purpureus,199841,0.8488768801100575,0.7283631232361242,LogisticRegression(),base
0,Larus occidentalis,4345,0.9888470013826478,0.9873000940733773,LogisticRegression(),base
0,Gambelia wislizenii,62797,0.9382833261509733,0.8911100658513641,LogisticRegression(),base
0,Cardinalis cardinalis,9083,0.8520088555026957,0.7688146754468486,LogisticRegression(),base
0,Calamospiza melanocorys,10585,0.9175596844242283,0.793038570084666,LogisticRegression(),base
0,Pooecetes gramineus,10168,0.8159954493742889,0.7645813734713076,LogisticRegression(),base
