,Species,Species ID,auc_roc,accuracy,Model,Params
0,Tadarida brasiliensis,41301,0.782747298019084,0.658513640639699,LogisticRegression(),base
0,Thryomanes bewickii,7576,0.7566913601271572,0.6893226716839135,LogisticRegression(),base
0,Anaxyrus boreas,64970,0.654169748953583,0.6785042333019755,LogisticRegression(),base
0,Charadrius vociferus,4793,,0.665098777046096,LogisticRegression(),base
0,Baeolophus bicolor,13632,0.8924295314681372,0.8142050799623707,LogisticRegression(),base
0,Megascops asio,19765,0.59494242492662,0.5498588899341487,LogisticRegression(),base
0,Melanerpes erythrocephalus,18204,0.686572977916015,0.6267638758231421,LogisticRegression(),base
0,Scaphiopus couchii,26691,0.9024182893074482,0.8306679209783632,LogisticRegression(),base
0,Elgaria multicarinata,32055,0.9324427476399045,0.9073377234242709,LogisticRegression(),base
0,Odocoileus hemionus,42220,0.8417277529225636,0.7761053621825024,LogisticRegression(),base
0,Poecile atricapillus,144815,0.47269396333968805,0.4614299153339605,LogisticRegression(),base
0,Chamaea fasciata,15256,0.9649808616336835,0.9207431796801505,LogisticRegression(),base
0,Athene cunicularia,19975,0.8943309262258206,0.7090780809031044,LogisticRegression(),base
0,Lanius ludovicianus,12024,0.45213941314230605,0.4482596425211665,LogisticRegression(),base
0,Otospermophilus variegatus,180008,0.8390643910143691,0.7408278457196613,LogisticRegression(),base
0,Sylvilagus audubonii,43115,0.9264560839267938,0.8045625587958608,LogisticRegression(),base
0,Urosaurus ornatus,36107,0.8898293366891162,0.8057384760112888,LogisticRegression(),base
0,Nucifraga columbiana,8520,0.7996507587657655,0.7250705550329257,LogisticRegression(),base
0,Quiscalus quiscula,9602,0.5351447469884024,0.5032925682031985,LogisticRegression(),base
0,Molothrus ater,10373,,0.7130761994355598,LogisticRegression(),base
0,Alligator mississippiensis,26159,0.9733659244766817,0.9221542803386642,LogisticRegression(),base
0,Eurycea lucifuga,27123,0.8975571163939486,0.7958607714016933,LogisticRegression(),base
0,Sayornis saya,17009,0.8722060803628376,0.7163687676387582,LogisticRegression(),base
0,Spizella pusilla,9152,0.7276002717678222,0.6300564440263405,LogisticRegression(),base
0,Phrynosoma hernandesi,36315,0.8034128141512471,0.6260583254938852,LogisticRegression(),base
0,Contopus sordidulus,16079,0.862906976562446,0.7772812793979303,LogisticRegression(),base
0,Tyrannus tyrannus,16782,0.595173904524156,0.5954844778927564,LogisticRegression(),base
0,Taricha torosa,27818,0.9794218900979378,0.95931326434619,LogisticRegression(),base
0,Cardinalis sinuatus,9081,0.9223775896342268,0.8381937911571026,LogisticRegression(),base
0,Nerodia rhombifer,29310,0.8775667762313482,0.7742238946378175,LogisticRegression(),base
0,Coragyps atratus,4765,0.9642744014670463,0.8581843838193791,LogisticRegression(),base
0,Icteria virens,10243,0.4857014063120933,0.6199435559736595,LogisticRegression(),base
0,Tamias striatus,46217,0.6884989537574657,0.6237064910630291,LogisticRegression(),base
0,Falco sparverius,4665,,0.5331608654750706,LogisticRegression(),base
0,Spinus tristis,145310,,0.6495766698024459,LogisticRegression(),base
0,Troglodytes aedon,7562,0.194100282272835,0.6594543744120414,LogisticRegression(),base
0,Stelgidopteryx serripennis,11970,0.003968956562795089,0.6187676387582314,LogisticRegression(),base
0,Odocoileus virginianus,42223,0.49697942003636014,0.5529162746942615,LogisticRegression(),base
0,Spinus psaltria,145308,0.8594872605676204,0.8097365945437441,LogisticRegression(),base
0,Haemorhous purpureus,199841,0.7714692579862981,0.6959078080903104,LogisticRegression(),base
0,Larus occidentalis,4345,0.986551590044936,0.9623706491063029,LogisticRegression(),base
0,Gambelia wislizenii,62797,0.9579692774545716,0.9183913452492944,LogisticRegression(),base
0,Cardinalis cardinalis,9083,0.7128561049247043,0.632173095014111,LogisticRegression(),base
0,Calamospiza melanocorys,10585,0.8594699857516912,0.7796331138287864,LogisticRegression(),base
0,Pooecetes gramineus,10168,0.3986981960019503,0.8751175917215428,LogisticRegression(),base
