,Species,Species ID,auc_roc,accuracy,Model,Params
0,Tadarida brasiliensis,41301,0.8825484180100228,0.6709783631232361,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Thryomanes bewickii,7576,0.8736429852172005,0.7871589840075258,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Anaxyrus boreas,64970,0.9565883297594411,0.8920507996237065,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Charadrius vociferus,4793,,0.8939322671683914,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Baeolophus bicolor,13632,0.9749955976949185,0.9249764816556915,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Megascops asio,19765,0.9150672432858027,0.8003292568203199,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Melanerpes erythrocephalus,18204,0.9556218589611043,0.8866415804327376,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Scaphiopus couchii,26691,0.9428473608579502,0.8772342427093133,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Elgaria multicarinata,32055,0.9742706100803918,0.9539040451552211,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Odocoileus hemionus,42220,0.9286970885631693,0.8661806208842897,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}"
