,Species,Species ID,auc_roc,accuracy,Model,Params
0,Tadarida brasiliensis,41301,0.9031109008675877,0.731420507996237,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Thryomanes bewickii,7576,0.8382167269566854,0.7815145813734713,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Anaxyrus boreas,64970,0.894638752071765,0.8548918156161807,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Charadrius vociferus,4793,,0.617826904985889,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Baeolophus bicolor,13632,0.9511941468332753,0.8807619943555973,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Megascops asio,19765,0.7693986603446978,0.6895578551269991,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Melanerpes erythrocephalus,18204,0.8289027514457152,0.7377704609595485,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Scaphiopus couchii,26691,0.9365602908698125,0.8826434619002822,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Elgaria multicarinata,32055,0.969030292773735,0.9395578551269991,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Odocoileus hemionus,42220,0.9609913742995977,0.8748824082784572,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Poecile atricapillus,144815,0.7501471719774784,0.6516933207902164,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Chamaea fasciata,15256,0.9858540505572484,0.9644873000940734,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Athene cunicularia,19975,0.9014042826445268,0.6888523047977423,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Lanius ludovicianus,12024,0.8370060155209625,0.39063969896519285,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Otospermophilus variegatus,180008,0.9381967745878541,0.8774694261523989,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Sylvilagus audubonii,43115,0.9399777930928861,0.8182031984948259,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Urosaurus ornatus,36107,0.9120898811234621,0.8396048918156162,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 0.01, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Nucifraga columbiana,8520,0.9504006255683852,0.8847601128880527,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Quiscalus quiscula,9602,0.690268835478935,0.6140639698965192,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Molothrus ater,10373,,0.6745061147695203,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Alligator mississippiensis,26159,0.9812600925746877,0.9494355597365945,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Eurycea lucifuga,27123,0.9544652734897601,0.8988711194731891,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Sayornis saya,17009,0.9231412993409396,0.730244590780809,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Spizella pusilla,9152,0.8734718798345522,0.8029162746942615,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Phrynosoma hernandesi,36315,0.9058354809713685,0.8097365945437441,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Contopus sordidulus,16079,0.9598686394858114,0.861241768579492,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}"
0,Tyrannus tyrannus,16782,0.6888526143150508,0.651928504233302,"GridSearchCV(cv=5, estimator=LogisticRegression(max_iter=500),
             param_grid={'C': [0.01, 0.1, 1, 10], 'penalty': ['l1', 'l2'],
                         'solver': ['liblinear', 'saga']},
             scoring='roc_auc')","{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}"
