,Species,Species ID,auc_roc,accuracy,Model,Params
0,Tadarida brasiliensis,41301,0.9019035182106796,0.6486359360301035,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Thryomanes bewickii,7576,0.879132215227536,0.75,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Anaxyrus boreas,64970,0.8195040580843314,0.7803386641580433,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Charadrius vociferus,4793,,0.9496707431796801,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Baeolophus bicolor,13632,0.9823730553608567,0.9207431796801505,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Megascops asio,19765,0.8563180899780584,0.7986829727187206,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Melanerpes erythrocephalus,18204,0.8959470951245153,0.7880997177798683,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Scaphiopus couchii,26691,0.9707112133398914,0.9141580432737535,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Elgaria multicarinata,32055,0.9741416140129966,0.9793038570084666,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Odocoileus hemionus,42220,0.9434717143233569,0.8673565380997178,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Poecile atricapillus,144815,0.959306920469396,0.8873471307619943,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Chamaea fasciata,15256,0.9789301261395817,0.9708372530573848,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Athene cunicularia,19975,0.9352711357307832,0.7173095014111006,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Lanius ludovicianus,12024,0.9121329843412775,0.39981185324553153,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Otospermophilus variegatus,180008,0.9596627405531937,0.8132643461900282,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Sylvilagus audubonii,43115,0.895636215126222,0.8294920037629351,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Urosaurus ornatus,36107,0.9300544537919571,0.8694731890874883,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Nucifraga columbiana,8520,0.8613858785515474,0.706961429915334,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Quiscalus quiscula,9602,0.8869061369379002,0.7944496707431796,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Molothrus ater,10373,,0.8087958607714016,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Alligator mississippiensis,26159,0.9843873425368768,0.9553151458137347,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Eurycea lucifuga,27123,0.9717529523000926,0.9444967074317968,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Sayornis saya,17009,0.8902269284600666,0.8461900282220132,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Spizella pusilla,9152,0.8789024160710268,0.770931326434619,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Phrynosoma hernandesi,36315,0.9092264788108616,0.7645813734713076,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Contopus sordidulus,16079,0.9767333673166592,0.8922859830667921,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Tyrannus tyrannus,16782,0.9326395563941907,0.878645343367827,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Taricha torosa,27818,0.9742506567223606,0.9943555973659455,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Cardinalis sinuatus,9081,0.9762930612488134,0.9574317968015051,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Nerodia rhombifer,29310,0.9671419830885659,0.8911100658513641,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Coragyps atratus,4765,0.973628546992883,0.9369708372530574,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Icteria virens,10243,0.7061820000751299,0.7307149576669802,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Tamias striatus,46217,0.9236737201428249,0.7998588899341487,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Falco sparverius,4665,,0.6175917215428034,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Spinus tristis,145310,,0.7659924741298213,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Troglodytes aedon,7562,0.42178241289405066,0.48400752587017876,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Stelgidopteryx serripennis,11970,0.8995514636449481,0.7631702728127939,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Odocoileus virginianus,42223,0.8594481380440367,0.751175917215428,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Spinus psaltria,145308,0.9385529381014428,0.8158513640639699,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Haemorhous purpureus,199841,0.8819677373344192,0.8212605832549389,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Larus occidentalis,4345,0.9917419201520913,0.9927093132643462,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Gambelia wislizenii,62797,0.9508733301012713,0.900752587017874,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Cardinalis cardinalis,9083,0.9287869991548264,0.849247412982126,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Calamospiza melanocorys,10585,0.9155733834632918,0.7991533396048918,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Pooecetes gramineus,10168,0.7385633024540875,0.746472248353716,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
