,Species,Species ID,auc_roc,accuracy,Model,Params
0,Tadarida brasiliensis,41301,0.8818294073686654,0.743414863593603,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Thryomanes bewickii,7576,0.8314738609492938,0.8031514581373471,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Anaxyrus boreas,64970,0.7645025013343572,0.7671683913452493,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Charadrius vociferus,4793,,0.6352304797742239,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Baeolophus bicolor,13632,0.9617046646018994,0.9301505174035748,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Megascops asio,19765,0.7854474298186198,0.7758701787394168,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Melanerpes erythrocephalus,18204,0.8583172428655885,0.7622295390404515,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Scaphiopus couchii,26691,0.9652402858548159,0.9148635936030104,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Elgaria multicarinata,32055,0.969757522896802,0.9510818438381938,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Odocoileus hemionus,42220,0.9412941982726456,0.8518344308560677,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Poecile atricapillus,144815,0.8992946182022479,0.7231890874882408,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Chamaea fasciata,15256,0.9743226278336844,0.9654280338664158,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Athene cunicularia,19975,0.8015762157310578,0.6559266227657573,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Lanius ludovicianus,12024,0.7838820774211324,0.47695202257761055,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Otospermophilus variegatus,180008,0.9629624530720764,0.8918156161806209,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Sylvilagus audubonii,43115,0.8666368022053756,0.8240827845719662,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Urosaurus ornatus,36107,0.9407872625252784,0.8831138287864534,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Nucifraga columbiana,8520,0.915263214098713,0.8344308560677328,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Quiscalus quiscula,9602,0.7536712009759434,0.6989651928504234,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Molothrus ater,10373,,0.6956726246472248,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Alligator mississippiensis,26159,0.9785863633701838,0.9630761994355598,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Eurycea lucifuga,27123,0.967703187712257,0.9310912511759172,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Sayornis saya,17009,0.8460612509744171,0.7389463781749764,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Spizella pusilla,9152,0.8835826068593831,0.8160865475070554,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Phrynosoma hernandesi,36315,0.9123415858965375,0.7946848541862653,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Contopus sordidulus,16079,0.9506437964689047,0.8805268109125117,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Tyrannus tyrannus,16782,0.816852762430513,0.7325964252116651,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
0,Taricha torosa,27818,0.979941441244592,0.9929444967074318,"RandomForestClassifier(criterion='entropy', max_depth=3, random_state=1000)",base
