,Species,Species ID,auc_roc,accuracy,Model,Params
0,Tadarida brasiliensis,41301,0.8957401256797289,0.7137817497648166,"GridSearchCV(cv=5, estimator=RandomForestClassifier(),
             param_grid={'max_depth': [3, 5, 10],
                         'max_features': ['auto', 'sqrt'],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')","{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 200}"
0,Thryomanes bewickii,7576,0.8861246584218109,0.7749294449670743,"GridSearchCV(cv=5, estimator=RandomForestClassifier(),
             param_grid={'max_depth': [3, 5, 10],
                         'max_features': ['auto', 'sqrt'],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')","{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 50}"
0,Anaxyrus boreas,64970,0.8957624212261104,0.8490122295390404,"GridSearchCV(cv=5, estimator=RandomForestClassifier(),
             param_grid={'max_depth': [3, 5, 10],
                         'max_features': ['auto', 'sqrt'],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')","{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 200}"
0,Charadrius vociferus,4793,,0.44190968955785515,"GridSearchCV(cv=5, estimator=RandomForestClassifier(),
             param_grid={'max_depth': [3, 5, 10],
                         'max_features': ['auto', 'sqrt'],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')","{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 100}"
0,Baeolophus bicolor,13632,0.9799401056323034,0.9212135465663217,"GridSearchCV(cv=5, estimator=RandomForestClassifier(),
             param_grid={'max_depth': [3, 5, 10],
                         'max_features': ['auto', 'sqrt'],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')","{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 200}"
0,Megascops asio,19765,0.8495395730934228,0.662041392285983,"GridSearchCV(cv=5, estimator=RandomForestClassifier(),
             param_grid={'max_depth': [3, 5, 10],
                         'max_features': ['auto', 'sqrt'],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')","{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 50}"
0,Melanerpes erythrocephalus,18204,0.9103399335801025,0.7716368767638758,"GridSearchCV(cv=5, estimator=RandomForestClassifier(),
             param_grid={'max_depth': [3, 5, 10],
                         'max_features': ['auto', 'sqrt'],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')","{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 200}"
0,Scaphiopus couchii,26691,0.9811973786997655,0.9510818438381938,"GridSearchCV(cv=5, estimator=RandomForestClassifier(),
             param_grid={'max_depth': [3, 5, 10],
                         'max_features': ['auto', 'sqrt'],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')","{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 100}"
0,Elgaria multicarinata,32055,0.98367430504848,0.9828316086547507,"GridSearchCV(cv=5, estimator=RandomForestClassifier(),
             param_grid={'max_depth': [3, 5, 10],
                         'max_features': ['auto', 'sqrt'],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')","{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 200}"
0,Odocoileus hemionus,42220,0.954702617602806,0.8057384760112888,"GridSearchCV(cv=5, estimator=RandomForestClassifier(),
             param_grid={'max_depth': [3, 5, 10],
                         'max_features': ['auto', 'sqrt'],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')","{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 200}"
